latitude,longitude,date,platform_number,cycle_number,day_idx,lat_idx,lon_idx,pred_0m,pred_5m,pred_10m,pred_20m,pred_30m,pred_50m,pred_75m,pred_100m,pred_125m,pred_150m,pred_200m,pred_300m,pred_500m,pred_700m,pred_1000m,glorys_0m,glorys_5m,glorys_10m,glorys_20m,glorys_30m,glorys_50m,glorys_75m,glorys_100m,glorys_125m,glorys_150m,glorys_200m,glorys_300m,glorys_500m,glorys_700m,glorys_1000m,true_0m,true_5m,true_10m,true_20m,true_30m,true_50m,true_75m,true_100m,true_125m,true_150m,true_200m,true_300m,true_500m,true_700m,true_1000m
15.44,67.485,2021-01-03,2902199,229,4020,42,90,26.79375,26.926949,26.919785,26.892204,26.908844,26.55491,24.250326,21.67622,19.922304,18.292313,15.747122,13.554301,11.982235,10.649577,8.485096,26.631031,26.631031,26.631031,26.631031,26.628834,26.464033,23.43611,22.481735,19.479446,17.465223,16.16001,13.0339365,11.463576,10.677664,9.030396,,26.5945,26.591,26.565,26.553,26.573,23.48084210526316,22.28,19.759,17.967,16.37,13.411,11.733,10.491,8.386
10.966666666666669,90.78333333333332,2021-01-03,2902235,352,4020,24,183,28.48353,28.55924,28.528841,28.478806,28.538464,28.738752,27.964617,25.692219,22.684677,19.94954,15.742863,12.318807,10.150373,8.813853,6.7960496,28.390362,28.38963,28.38963,28.3867,28.382305,28.378643,27.958952,26.187902,21.355236,18.667898,16.324808,11.748497,9.723289,9.071413,7.233711,,28.48825,28.491166666666665,28.48933333333333,28.494909090909093,28.298222222222225,27.671,25.3877,21.71816666666667,19.856,15.374,12.318863813229571,9.936325490196078,8.49281124497992,6.397908366533865
16.626066,69.636597,2021-01-03,2902271,62,4020,47,99,27.43869,27.577145,27.575466,27.552872,27.562904,26.516668,23.510778,20.94067,19.039856,17.59473,15.632995,13.760557,12.137048,10.773678,8.527007,27.494583,27.494583,27.494583,27.507767,27.710653,27.63448,23.615559,22.170446,19.570269,17.752342,16.149754,13.486588,11.87228,11.271676,9.499161,,27.41186363636364,27.41921553398058,27.4195505,27.4150875,25.89246746411484,23.689825888324872,22.732862189054725,20.086215270935963,18.271257575757573,15.2395,13.247875369458129,11.7091,10.776260696517411,8.577904020100503
20.348724,66.577721,2021-01-03,2902276,61,4020,61,86,25.130468,25.332933,25.319105,25.213713,25.310043,25.186928,24.017853,22.358046,21.078377,19.803944,17.605364,15.409996,12.784843,11.072183,8.925644,25.089235,25.089235,25.089235,25.089235,25.089235,25.089235,24.623402,23.5262,21.328867,19.759972,18.016754,14.024201,12.449446,11.460647,9.781884,,24.789293846153846,24.7964,24.802111,24.805194029850743,24.81517014925373,24.95063888888889,23.52050447761194,22.55029207920792,20.061049756097564,17.396061306532662,14.728814,12.919512871287129,11.236664824120604,8.885678787878788
13.59129,59.53008,2021-01-03,2902391,192,4020,34,58,24.822123,25.31963,25.33715,25.392906,25.452868,24.635223,22.566732,20.034376,18.614756,17.2684,15.376181,13.989866,12.119927,10.77808,8.505348,25.443007,25.443007,25.442274,25.439344,25.429823,25.332407,20.814692,19.718222,17.698874,16.560656,15.716147,13.146733,11.74337,11.218207,9.1226845,,25.086041666666667,25.087,25.093,25.08006,24.893,19.17724,17.7561,17.1715,16.07188,15.232,13.697,12.338346153846151,10.939333333333334,8.56678431372549
14.854,87.66,2021-01-03,2902710,16,4020,39,171,27.852757,27.961903,27.936676,27.889437,28.072218,28.382534,26.99227,23.878752,21.132587,18.724955,15.248907,12.011186,10.051045,8.6586485,6.708906,27.643269,27.642536,27.641804,27.638874,27.632282,27.613972,26.970154,24.795527,19.505081,17.2931,15.2949915,11.421094,9.735008,8.886837,7.21247,,27.606212765957448,27.60842307692308,27.57042857142857,27.27325,27.210762711864408,27.10253125,23.425454545454546,20.358962264150943,17.760877192982456,14.4098,11.70501030927835,10.028,8.752467005076142,6.833558415841584
12.483,84.898,2021-01-03,2902769,34,4020,30,160,27.93638,28.06205,28.046257,28.018084,28.170374,28.151896,26.23135,23.13399,20.438158,18.162416,14.994572,12.046289,10.156313,8.804273,6.7339625,27.972137,27.971405,27.971405,27.970673,27.968473,27.967009,25.95645,24.216162,19.41133,17.27552,15.609211,11.597613,10.142247,9.172491,7.5559864,,27.917538461538463,27.915,27.904205882352944,27.899,27.87278260869565,26.003,22.609,20.58469696969697,18.30951851851852,15.013852272727272,11.8577609561753,10.032008097165992,8.533790513833992,6.673336032388664
13.23627,63.35013666666666,2021-01-03,6902943,295,4020,33,73,26.964344,27.106947,27.087456,26.995377,26.970118,26.527681,24.545704,21.6789,19.992844,18.139845,15.671418,13.349992,11.819794,10.554823,8.540709,26.714529,26.714529,26.714529,26.714529,26.713797,26.683035,23.892422,22.937315,19.500687,17.528214,16.157812,13.576677,11.536088,10.876888,9.478652,,26.505,26.511090909090907,26.516416666666665,26.521,26.358454545454546,22.8435,21.2894,19.22223076923077,17.6195,15.8148,13.522222222222222,11.64175,10.610363636363637,8.3568
16.78189,54.2972,2021-01-03,6902948,275,4020,47,37,25.602009,25.652592,25.671648,25.805824,26.169853,26.483156,25.770634,24.046598,22.481026,20.868654,17.999847,15.09055,12.840524,11.651848,9.269991,25.697897,25.612934,25.601948,25.589495,25.593891,25.634174,25.610737,25.400524,23.197332,21.642353,19.22602,14.280557,12.889645,12.2106695,9.669087,,25.543666666666667,25.391,25.33081818181818,25.3097,25.2986,25.22209090909091,24.48609090909091,22.4844,20.53066666666667,17.759,15.33595652173913,12.667473684210526,11.7296,9.626529411764706
18.516666666666666,87.66666666666667,2021-01-04,2902236,259,4021,54,171,26.432972,26.439869,26.490318,26.779648,27.336912,28.117598,27.50363,25.42076,22.687782,20.098362,15.987481,12.264269,10.2583475,8.854111,6.941147,25.79751,25.787989,25.782862,25.780663,26.931334,27.58101,27.108585,25.399792,20.123997,17.644672,15.502274,11.804163,10.106357,9.286752,7.583819,,25.586222222222226,25.59204918032787,25.72518947368421,26.26135353535353,27.20667346938776,27.3808431372549,24.93210185185185,21.365514285714283,18.2843125,14.548842424242425,12.009944444444445,10.345565737051793,8.95520717131474,7.079391304347826
11.534,70.09,2021-01-04,2902254,130,4021,26,100,28.650639,28.76147,28.72453,28.653667,28.643005,28.088076,25.658276,22.613739,20.015495,17.813505,15.00866,12.898035,11.519291,10.25373,8.05393,28.615223,28.492905,28.477524,28.459944,28.45555,28.437239,25.604877,24.296732,19.447218,16.97815,15.011536,12.418683,11.205756,10.693777,9.11536,,28.587,28.563,28.55181818181818,28.546,28.3888,25.329,21.9655,18.91463636363636,16.2675,14.433941176470588,12.84572,11.30012,10.29624,8.218
18.690607,67.116989,2021-01-04,2902272,62,4021,55,88,26.205795,26.323893,26.331749,26.326092,26.443352,26.38423,24.684502,22.33547,20.854486,19.342522,17.001541,14.679048,12.519387,11.019051,8.862307,26.114658,26.114658,26.114658,26.114658,26.114658,26.114658,24.474716,23.624348,21.39552,19.922575,18.26725,13.966338,12.264137,11.642293,10.070467,,26.152359171597634,26.15218970588236,26.149395566502463,26.147494,26.14859702970297,24.44433316831683,22.87055051546392,20.67825,18.28304108910891,16.405502985074627,14.149829081632651,12.522541624365482,10.8613,8.778745544554456
18.426443,69.911774,2021-01-04,2902273,62,4021,54,100,27.629162,27.729214,27.72887,27.698635,27.791277,27.616611,26.272175,23.878065,22.334435,20.47853,17.414106,14.426187,12.398445,10.958422,8.788995,27.53853,27.53853,27.53853,27.53853,27.537798,27.852749,24.996948,23.270576,19.620808,18.331705,17.476212,14.479781,12.6039915,11.90524,9.73281,,27.5221568627451,27.522072815533978,27.536,27.544019607843136,27.61668260869565,25.151985,21.030030150753767,18.92634482758621,18.7253567839196,16.180646464646465,14.285751243781094,12.768117073170732,11.332485148514852,9.005356435643565
18.501,91.939,2021-01-04,2902278,118,4021,54,188,26.269371,26.416166,26.580452,27.487522,28.701572,29.233587,27.560513,24.372295,20.619705,17.927032,14.408298,11.586059,9.963427,8.650461,6.6335015,26.91229,26.89178,26.888119,29.157965,30.088167,29.712423,27.111515,25.01892,19.02533,16.647816,14.676077,11.351512,9.704978,8.82165,7.1817074,,27.202,27.252,28.75272727272727,29.740666666666662,29.076454545454546,27.344,24.02881818181818,20.234454545454547,17.320999999999998,13.64025,11.55832,10.03884,8.674520000000001,6.80144
8.295415,88.794151,2021-01-04,2902294,81,4021,13,175,28.776947,28.828089,28.800747,28.756903,28.763166,28.869164,28.274359,26.27061,23.357971,20.419891,15.915851,12.414739,10.05656,8.662406,6.7217474,28.735344,28.736076,28.735344,28.735344,28.735344,28.768303,27.621296,26.509445,22.021027,19.25312,16.534288,11.788049,9.677877,8.9176,7.1524096,,28.69529824561404,28.699,28.701,28.70400995024876,28.732948837209303,27.69132735426009,25.662627906976745,22.5735625,18.762000000000004,15.423529411764706,11.869781094527363,10.056059113300492,8.464,6.503970149253731
14.726,86.631,2021-01-04,2902768,34,4021,39,167,27.579967,27.68807,27.672508,27.662636,27.79234,28.074896,26.742182,23.77782,21.146856,18.798037,15.220159,12.027788,10.01534,8.625094,6.705954,27.189886,27.187689,27.184027,27.176702,27.170843,27.163519,26.995056,25.06067,20.433088,18.059237,15.899991,11.427687,9.722556,9.04065,7.379467,,27.491,27.490736842105264,27.4739191919192,27.337892156862747,27.143571428571427,27.147413461538463,23.53753125,20.464791666666667,18.247545454545456,15.147105263157895,12.120774193548389,10.178272,8.82627091633466,6.985296442687747
12.364,90.248,2021-01-04,2902770,33,4021,29,181,28.285604,28.385977,28.362152,28.328428,28.424713,28.588974,27.42368,24.645279,21.887283,19.334757,15.420585,12.07847,10.028574,8.685393,6.739886,28.092257,28.08713,28.079073,28.070284,28.08127,28.12595,27.23896,25.291391,21.010254,18.406416,15.929289,11.64449,9.586322,8.895627,7.285714,,28.329,28.289775862068964,28.27337894736842,28.269484848484847,28.26845631067961,26.48,24.00962962962963,20.636868686868688,18.357,14.419520710059173,11.707141732283464,9.986148,8.525458167330678,6.778226190476191
13.07,90.899,2021-01-04,2902772,33,4021,32,184,28.363937,28.457579,28.435524,28.434265,28.56847,28.810524,27.89078,25.50162,22.507904,19.809671,15.678865,12.267048,10.040927,8.702638,6.7831717,28.595448,28.588854,28.582262,28.574938,28.56981,28.589586,28.517075,26.556322,21.077639,18.30021,15.987152,11.914029,9.655171,8.758659,7.315012,,28.4279,28.40566071428572,28.38634615384615,28.38,28.406474226804125,28.51438834951456,25.725428571428573,23.029588785046727,19.55437113402062,14.681264705882352,11.774843621399176,9.931924302788843,8.645373493975903,6.826983870967743
