date,Arabian Sea heatwave_share,Arabian Sea deep_share_of_heatwave,Bay of Bengal heatwave_share,Bay of Bengal deep_share_of_heatwave
2023-04-08,0.0924357034795764,0.28477905073649756,0.05148467432950191,0.4790697674418605
2023-04-09,0.09295987887963664,0.2768729641693811,0.07768395657418577,0.45652173913043476
2023-04-10,0.08123673840557745,0.2873134328358209,0.07716497339138849,0.48589341692789967
2023-04-11,0.041780613795199026,0.38545454545454544,0.06902439024390244,0.4275618374558304
2023-04-12,0.03756437443199031,0.3709677419354839,0.08187718422366451,0.4146341463414634
2023-04-13,0.053357586781870546,0.3068181818181818,0.06994234143895713,0.40860215053763443
2023-04-14,0.05856470945228342,0.2927461139896373,0.051595214356929216,0.40096618357487923
2023-04-15,0.08306806123995755,0.2791970802919708,0.08630069238377844,0.45272206303724927
2023-04-16,0.09323832625833839,0.26504065040650404,0.10694923607688517,0.4608294930875576
2023-04-17,0.06347523102560218,0.29832935560859186,0.1190592846643802,0.38065843621399176
2023-04-18,0.0603030303030303,0.24371859296482412,0.10852523272905439,0.28442437923250563
2023-04-19,0.07878787878787878,0.22115384615384615,0.09306882194464854,0.29473684210526313
2023-04-20,0.10855063674954518,0.20391061452513967,0.058968665186281764,0.25523012552301255
2023-04-21,0.1605275125056844,0.2049102927289896,0.0653353057199211,0.3018867924528302
2023-04-22,0.13504481239556435,0.2170978627671541,0.08279940857565303,0.37202380952380953
2023-04-23,0.08513554675601584,0.19320214669051877,0.10416147520558186,0.3827751196172249
2023-04-24,0.11170456279566611,0.11885245901639344,0.14510575504181014,0.35423728813559324
2023-04-25,0.09415880742318224,0.08723747980613894,0.1159634838391315,0.33191489361702126
2023-04-26,0.05141037306642402,0.11209439528023599,0.1318762278978389,0.3333333333333333
2023-04-27,0.01351556567957479,0.34831460674157305,0.11973716232660014,0.3780487804878049
2023-04-28,0.014404852160727824,0.35789473684210527,0.14157575757575758,0.3561643835616438
2023-04-29,0.014866504854368932,0.5204081632653061,0.17957405614714425,0.38409703504043125
2023-04-30,0.026543303503716063,0.5142857142857142,0.16224116930572471,0.38288288288288286
2023-05-01,0.028160484481453446,0.41397849462365593,0.1601171588967537,0.39176829268292684
2023-05-02,0.0237590799031477,0.4713375796178344,0.12300123001230012,0.236
2023-05-03,0.024962178517397883,0.4121212121212121,0.11939559078523657,0.27593360995850624
2023-05-04,0.03177004538577912,0.40476190476190477,0.1605538013116347,0.19818456883509833
2023-05-05,0.0595003785011355,0.23155216284987276,0.12821128451380553,0.2546816479400749
2023-05-06,0.08713441430519776,0.1826086956521739,0.16823330923114002,0.28939828080229224
2023-05-07,0.07460197119029569,0.18495934959349594,0.21254523522316043,0.3348467650397276
2023-05-08,0.08296678295161534,0.1480804387568556,0.22521212121212122,0.33907427341227125
2023-05-09,0.08117129418904567,0.13457943925233645,0.24611650485436892,0.35502958579881655
2023-05-10,0.10380937926847776,0.1067251461988304,0.19901477832512315,0.400990099009901
2023-05-11,0.19635535307517085,0.102861562258314,0.17844698855151817,0.4602510460251046
2023-05-12,0.17908178777743994,0.12393887945670629,0.18294895050531226,0.4518413597733711
2023-05-13,0.18235651381718798,0.10657785179017486,0.08302583025830258,0.3333333333333333
2023-05-14,0.14125322409346078,0.1310418904403867,0.014721074380165289,0.017543859649122806
2023-05-15,0.11915604128718883,0.13630573248407643,0.009682224428997022,0.2564102564102564
2023-05-16,0.1537410836242222,0.16090819348469892,0.017400204708290685,0.6176470588235294
2023-05-17,0.18648443432042522,0.15472312703583063,0.020106897429371343,0.7974683544303798
2023-05-18,0.26196281621456874,0.14136125654450263,0.01689933872152829,0.8260869565217391
2023-05-19,0.29888736473098615,0.13564507904130546,0.01901323706377858,0.7721518987341772
2023-05-20,0.3187214611872146,0.1451766953199618,0.014433485686793361,0.8166666666666667
2023-05-21,0.3393101352378058,0.16032243618450515,0.014326647564469915,0.9166666666666666
2023-05-22,0.4178990699801799,0.16964611455673112,0.008624820316243412,0.3888888888888889
2023-05-23,0.4387490465293669,0.1790681502086231,0.015986638033882127,0.417910447761194
2023-05-24,0.4864782276546982,0.19535175879396985,0.017451589768109014,0.3287671232876712
2023-05-25,0.5836005497022446,0.20068027210884354,0.035525684109457514,0.35135135135135137
