platform_number,cycle_number,latitude,longitude,date,n_levels,temp_0m,temp_5m,temp_10m,temp_20m,temp_30m,temp_50m,temp_75m,temp_100m,temp_125m,temp_150m,temp_200m,temp_300m,temp_500m,temp_700m,temp_1000m
2902267,106,16.532,60.011,2021-12-16 00:00:00+00:00,97,,26.11,26.115,26.1075,26.09018181818182,25.986,22.99,20.6405,19.298636363636362,18.421111111111113,16.654470588235295,14.67708,12.53588,10.884833333333333,8.64896
2902388,228,9.32788,64.87432,2021-12-16 00:00:00+00:00,949,,28.191,28.1849375,28.1751,28.169,26.288634615384616,23.27,19.585,16.26656603773585,14.89,13.42992,12.029196078431372,10.746423076923078,9.399,7.67144
2902394,226,11.96579,80.21165,2021-12-16 00:00:00+00:00,547,,27.330423076923076,27.33940625,27.41673469387755,27.561,27.750274509803923,28.169156862745098,23.128673469387756,21.33576,18.260686274509805,15.869979591836735,11.922807692307693,9.535596153846154,8.246596153846154,6.553
2902680,199,9.457,87.186,2021-12-16 00:00:00+00:00,74,,28.7703125,28.771,28.709642857142857,28.701962962962966,28.620555555555555,25.460113402061854,23.143316326530613,20.76630392156863,18.01635652173913,14.72372549019608,11.817343434343433,9.905404761904762,8.550317647058824,6.801711999999999
2902771,85,5.057,83.18,2021-12-16 00:00:00+00:00,100,,28.968,28.9315,28.97729411764706,29.0598125,29.017855670103092,28.87911111111111,28.535653465346535,24.308861386138616,19.433427083333335,14.791696428571429,12.418192,10.485578313253011,8.791389763779527,6.82110843373494
2902852,86,8.932,87.394,2021-12-16 00:00:00+00:00,114,,,28.646,28.64578947368421,28.645,28.653963636363635,26.317272727272726,23.679381818181817,21.669999999999998,19.364285714285714,14.555714285714286,11.725373737373738,9.885084210526315,8.523643564356435,6.585673796791443
6903007,113,19.918648333333334,60.02944166666666,2021-12-16 00:00:00+00:00,1003,,25.796,25.798499999999997,25.799153846153846,25.78107142857143,25.788833333333333,23.6695,22.9562,22.43755555555556,21.395636363636363,19.688,16.8835,12.983954545454546,11.551545454545455,9.036999999999999
6903059,92,22.13295833333333,60.016133333333336,2021-12-16 00:00:00+00:00,564,,25.541,25.544,25.523,25.54175,25.51,23.633454545454544,22.821,21.628555555555554,21.009818181818183,19.282999999999998,17.1225,13.398478260869565,11.359789473684211,
6903060,112,25.23297,57.93972333333333,2021-12-16 00:00:00+00:00,448,,26.019,26.018,26.003333333333334,25.9798,25.9425,24.512,22.86466666666667,21.968272727272726,22.567076923076925,23.486909090909087,19.133,14.186727272727273,,
2902260,256,12.242,70.393,2021-12-17 00:00:00+00:00,9,,28.37,,,,,,,,,,,,,
2902268,106,15.226,61.718,2021-12-17 00:00:00+00:00,100,,26.467,26.474,26.477400000000003,26.481,26.476363636363637,24.0717,22.90588888888889,21.8781,20.2425,17.27964705882353,14.442680000000001,12.641200000000001,10.91064,8.6244
2902275,175,19.002966,68.075409,2021-12-17 00:00:00+00:00,993,,26.750452727272727,26.7642,26.7602,26.695008823529413,27.0643,25.162400980392157,21.62294581280788,21.199098984771574,18.944425757575758,17.53928712871287,14.85173631840796,12.9702,11.300168316831684,8.855114778325122
2902277,95,20.992853,67.664612,2021-12-17 00:00:00+00:00,994,,26.136431073446328,26.13840891089109,26.1386,26.137332019704434,26.08066485148515,26.0745195,23.543584693877552,22.937991542288557,21.69587711442786,19.0318,15.788475247524753,13.22345505050505,11.56642288557214,9.06575101010101
6903008,113,24.434001666666667,63.401285,2021-12-17 00:00:00+00:00,1007,,25.649454545454546,25.649,25.651,25.6535,25.656,25.60727272727273,23.787357142857143,23.164,22.8189,20.26925,18.352,14.219941176470588,11.785124999999999,8.1755
6903046,113,20.15893833333333,61.51054333333333,2021-12-17 00:00:00+00:00,1005,,25.574636363636362,25.58,25.593666666666667,25.593,25.545749999999998,21.96,20.782,19.801384615384613,19.17518181818182,17.686166666666665,15.336,12.476333333333333,10.797619047619047,8.446666666666665
6903058,113,21.101275,60.340878333333336,2021-12-17 00:00:00+00:00,588,,25.571,25.582,25.668,25.586,24.0617,22.999750000000002,22.3216,21.584,20.939666666666668,19.731,17.497,13.295176470588235,11.762863636363637,
6903062,113,20.147215,59.21481833333333,2021-12-17 00:00:00+00:00,574,,25.714266666666667,25.715,25.712636363636364,25.714,25.89375,25.166454545454545,23.403,22.968454545454545,22.13007142857143,19.969181818181816,17.025636363636366,13.218,11.429400000000001,
6903063,113,24.93231833333333,57.931983333333335,2021-12-17 00:00:00+00:00,582,,25.67188888888889,25.67290909090909,25.67,25.661454545454543,25.63890909090909,25.05818181818182,23.41425,22.485,21.8742,20.314,18.6475,14.000739130434782,11.968399999999999,
1901897,131,15.7782,53.9876,2021-12-18 00:00:00+00:00,54,,,,,26.149140350877193,26.145009708737863,26.144535353535353,25.431059405940594,24.24131632653061,21.7872,17.811,13.919120521172639,11.568744,10.976996000000002,9.856
2902259,141,11.957,66.185,2021-12-18 00:00:00+00:00,96,,27.876,27.876,27.875999999999998,27.8785,27.740636363636366,24.834,22.5365,19.24381818181818,17.4265,15.530117647058823,12.75144,11.58796,10.34844,8.2652
2902262,141,9.052,61.081,2021-12-18 00:00:00+00:00,102,,27.679,27.683,27.6845,27.684636363636365,27.6155,25.425,22.118499999999997,18.338,16.69488888888889,14.593411764705882,12.46936,11.1695,9.74088,7.75128
2902389,228,11.50884,65.53165,2021-12-18 00:00:00+00:00,506,,27.919,27.917787878787877,27.919,27.919,27.89716,23.033839999999998,21.000999999999998,17.621499999999997,16.35888235294118,14.608705882352941,12.634,11.367792452830189,10.0731,8.218806451612904
2902392,230,6.92172,61.56621,2021-12-18 00:00:00+00:00,940,,28.034,28.032258064516128,28.07504,27.93908163265306,24.257,21.56018,18.546584905660378,16.7221,15.311,12.83870588235294,11.626,10.700078431372548,9.828,8.029903846153845
2902766,69,14.354,90.613,2021-12-18 00:00:00+00:00,102,,28.488,28.4799,28.493494845360825,28.532454545454545,28.58111764705882,26.862,23.694141414141413,21.599612612612614,18.967757575757577,14.789040935672514,11.984146341463415,10.045486166007905,8.752698795180722,6.912012096774194
6903007,114,19.820046666666663,60.08758666666667,2021-12-18 00:00:00+00:00,998,,25.67525,25.6664,25.66736363636364,25.675545454545453,25.66209090909091,24.311444444444444,22.784181818181818,22.1129,20.67053846153846,19.724,16.368888888888886,13.043437500000001,11.362181818181819,8.9415625
6903059,93,22.105575,59.93235,2021-12-18 00:00:00+00:00,566,,25.38411111111111,25.386,25.38711111111111,25.386,25.2618,23.0503,22.724666666666668,22.0176,21.5664,19.359125000000002,17.043363636363637,13.463909090909091,11.352833333333333,
6903060,113,25.016655,58.24641666666667,2021-12-18 00:00:00+00:00,580,,25.499166666666664,25.499692307692307,25.506875,25.516,25.516299999999998,25.5107,24.443,23.142000000000003,22.155363636363635,23.202375,19.031642857142856,14.042470588235293,11.648142857142858,
1901517,380,5.445,58.156,2021-12-19 00:00:00+00:00,72,,28.039813559322035,28.077949152542374,28.09653623188406,28.100151515151516,27.734060606060606,21.62905,17.34832142857143,15.555949367088607,13.769860759493671,13.054549019607844,11.941013157894737,10.441532258064516,9.874223756906076,7.409620078740157
2902391,228,11.76703,56.01787,2021-12-19 00:00:00+00:00,518,,26.732960000000002,26.738,26.736,26.736019607843136,26.745,26.288941176470587,24.40664705882353,22.620240000000003,20.67384,18.069000000000003,15.067549019607844,12.318719999999999,10.87,8.485
2902710,85,14.817,88.154,2021-12-19 00:00:00+00:00,113,,28.494,28.494833333333332,28.491,28.506072727272727,28.069384615384614,25.838833333333334,23.090302325581394,20.398,18.529979166666667,14.8486,11.785529411764706,10.013866666666667,8.741827586206897,6.777493975903615
2902769,69,13.269,84.115,2021-12-19 00:00:00+00:00,101,,28.19925,28.201272727272727,28.23762105263158,28.208000000000002,26.743242990654206,24.108597938144328,21.96250925925926,20.45955,18.22693684210526,15.309016949152541,12.0295,10.109386454183268,8.632668016194332,6.9877391304347825
6903008,114,24.257336666666667,63.49444833333333,2021-12-19 00:00:00+00:00,1004,,25.841,25.788,25.75709090909091,25.756833333333336,25.756333333333334,23.823333333333334,23.10311111111111,22.5681,21.514272727272726,20.0036,17.645666666666667,13.99638888888889,11.767470588235295,8.5382
