latitude,longitude,date,platform_number,cycle_number,day_idx,lat_idx,lon_idx,pred_0m,pred_5m,pred_10m,pred_20m,pred_30m,pred_50m,pred_75m,pred_100m,pred_125m,pred_150m,pred_200m,pred_300m,pred_500m,pred_700m,pred_1000m,glorys_0m,glorys_5m,glorys_10m,glorys_20m,glorys_30m,glorys_50m,glorys_75m,glorys_100m,glorys_125m,glorys_150m,glorys_200m,glorys_300m,glorys_500m,glorys_700m,glorys_1000m,true_0m,true_5m,true_10m,true_20m,true_30m,true_50m,true_75m,true_100m,true_125m,true_150m,true_200m,true_300m,true_500m,true_700m,true_1000m
9.7195,91.0202,2021-01-03,2901898,237,4020,19,184,28.576834,28.591057,28.590979,28.611753,28.732388,29.148125,29.146856,28.074575,22.759737,19.315845,16.389856,11.7830515,9.662077,8.898687,7.156847,28.669424,28.66796,28.665762,28.65917,28.67748,28.97998,28.670889,27.620564,23.129948,19.67867,16.78112,11.815149,9.604632,8.853877,7.1970887,,28.692,28.672,28.66,28.651,28.848,28.921,27.661,24.177,21.261,17.784,12.387,9.915500000000002,8.49415633802817,6.597698403193613
15.44,67.485,2021-01-03,2902199,229,4020,42,90,26.812094,26.82287,26.819159,26.832865,26.91257,26.727468,24.28946,22.925694,19.899357,18.204222,16.68118,13.263575,11.696512,10.995768,9.092051,26.631031,26.631031,26.631031,26.631031,26.628834,26.464033,23.43611,22.481735,19.479446,17.465223,16.16001,13.0339365,11.463576,10.677664,9.030396,,26.5945,26.591,26.565,26.553,26.573,23.48084210526316,22.28,19.759,17.967,16.37,13.411,11.733,10.491,8.386
10.966666666666669,90.78333333333332,2021-01-03,2902235,352,4020,24,183,28.367008,28.374071,28.366898,28.388872,28.555174,28.891577,28.143398,26.85464,22.02694,18.998983,16.238634,11.770814,9.774484,9.030893,7.2582383,28.390362,28.38963,28.38963,28.3867,28.382305,28.378643,27.958952,26.187902,21.355236,18.667898,16.324808,11.748497,9.723289,9.071413,7.233711,,28.48825,28.491166666666665,28.48933333333333,28.494909090909093,28.298222222222225,27.671,25.3877,21.71816666666667,19.856,15.374,12.318863813229571,9.936325490196078,8.49281124497992,6.397908366533865
16.626066,69.636597,2021-01-03,2902271,62,4020,47,99,27.42173,27.43529,27.440897,27.489119,27.595772,26.990057,23.939869,22.390656,19.282349,17.740894,16.395529,13.554842,11.868247,11.13102,9.148875,27.494583,27.494583,27.494583,27.507767,27.710653,27.63448,23.615559,22.170446,19.570269,17.752342,16.149754,13.486588,11.87228,11.271676,9.499161,,27.41186363636364,27.41921553398058,27.4195505,27.4150875,25.892467464114837,23.689825888324872,22.732862189054725,20.086215270935963,18.271257575757573,15.2395,13.247875369458129,11.7091,10.776260696517411,8.577904020100503
20.348724,66.577721,2021-01-03,2902276,61,4020,61,86,25.332771,25.341454,25.342287,25.37961,25.560776,25.654102,24.413424,23.561722,21.619759,20.200073,18.631052,15.086861,12.4548,11.520167,9.670848,25.089235,25.089235,25.089235,25.089235,25.089235,25.089235,24.623402,23.5262,21.328867,19.759972,18.016754,14.024201,12.449446,11.460647,9.781884,,24.789293846153846,24.7964,24.802111,24.805194029850743,24.81517014925373,24.95063888888889,23.52050447761194,22.55029207920792,20.061049756097564,17.396061306532662,14.728814,12.919512871287129,11.236664824120604,8.885678787878788
13.59129,59.53008,2021-01-03,2902391,192,4020,34,58,25.622751,25.658928,25.668436,25.714266,25.8133,25.424849,23.16954,21.874432,18.875584,17.402304,16.2192,13.708635,11.819286,11.090768,9.078841,25.443007,25.443007,25.442274,25.439344,25.429823,25.332407,20.814692,19.718222,17.698874,16.560656,15.716147,13.146733,11.74337,11.218207,9.1226845,,25.086041666666667,25.087,25.093,25.08006,24.893,19.17724,17.7561,17.1715,16.07188,15.232,13.697,12.338346153846151,10.939333333333334,8.56678431372549
14.854,87.66,2021-01-03,2902710,16,4020,39,171,27.789955,27.78194,27.774803,27.818188,28.03727,28.397907,26.9032,25.252485,20.803219,18.234667,15.844578,11.700479,9.728733,8.941342,7.326131,27.643269,27.642536,27.641804,27.638874,27.632282,27.613972,26.970154,24.795527,19.505081,17.2931,15.2949915,11.421094,9.735008,8.886837,7.21247,,27.606212765957448,27.60842307692308,27.57042857142857,27.27325,27.210762711864408,27.10253125,23.425454545454546,20.358962264150943,17.760877192982456,14.4098,11.70501030927835,10.028,8.752467005076142,6.833558415841584
12.483,84.898,2021-01-03,2902769,34,4020,30,160,27.902136,27.892096,27.88445,27.913513,28.077473,28.108437,26.125992,24.55695,20.259207,17.8329,15.659501,11.804474,9.850687,9.048218,7.339924,27.972137,27.971405,27.971405,27.970673,27.968473,27.967009,25.95645,24.216162,19.41133,17.27552,15.609211,11.597613,10.142247,9.172491,7.5559864,,27.917538461538463,27.915,27.904205882352944,27.899,27.87278260869565,26.003,22.609,20.58469696969697,18.30951851851852,15.013852272727272,11.8577609561753,10.032008097165992,8.533790513833992,6.673336032388664
13.23627,63.35013666666666,2021-01-03,6902943,295,4020,33,73,26.890852,26.90755,26.90809,26.904774,26.908703,26.620024,24.477262,23.06046,19.780691,17.905937,16.338022,13.088393,11.517761,10.848731,9.121731,26.714529,26.714529,26.714529,26.714529,26.713797,26.683035,23.892422,22.937315,19.500687,17.528214,16.157812,13.576677,11.536088,10.876888,9.478652,,26.505,26.511090909090907,26.516416666666665,26.521,26.358454545454546,22.8435,21.2894,19.22223076923077,17.6195,15.8148,13.522222222222222,11.64175,10.610363636363637,8.3568
16.78189,54.2972,2021-01-03,6902948,275,4020,47,37,25.503672,25.504503,25.52199,25.64852,25.939613,26.070976,24.994745,24.232574,21.91667,20.450129,18.777761,14.757334,12.529518,11.921328,9.817109,25.697897,25.612934,25.601948,25.589495,25.593891,25.634174,25.610737,25.400524,23.197332,21.642353,19.22602,14.280557,12.889645,12.2106695,9.669087,,25.543666666666667,25.391,25.33081818181818,25.3097,25.2986,25.22209090909091,24.48609090909091,22.4844,20.53066666666667,17.759,15.33595652173913,12.667473684210526,11.7296,9.626529411764706
